,m_obs,ace_value,ace_standard_error,q_ace_standard_error,ols_value,ols_standard_error,q_ols_standard_error,q,ace_circ,confidence_level
0,100,0.4177235203010794,0.12294856790345929,0.24097476504155746,0.38927116388859,0.12781671963481397,0.25051616710628893,1.959963984540054,0.4010480475814138,0.05
1,215,0.36054688422075487,0.07253637967186656,0.14216869172578175,0.3467559993647542,0.07306040445364781,0.14319576142507948,1.959963984540054,0.4010480475814138,0.05
2,464,0.37070527073684234,0.043514572161077056,0.08528699423838029,0.3709388876403185,0.0424674301342513,0.08323463357910353,1.959963984540054,0.4010480475814138,0.05
3,1000,0.3616977068259602,0.030986336610548476,0.060732103769509944,0.3629027472713596,0.03296336901144432,0.06460701607153455,1.959963984540054,0.4010480475814138,0.05
4,2154,0.41520310695053664,0.020664710060510065,0.04050208746956225,0.4140270984616177,0.02162229729955723,0.042378923970149834,1.959963984540054,0.4010480475814138,0.05
5,4641,0.38707213749544006,0.013879479064004345,0.027203279089626217,0.38597636545629943,0.014663937864304621,0.028740790085570254,1.959963984540054,0.4010480475814138,0.05
6,10000,0.39228291350665745,0.009706412754217212,0.01902421941734597,0.3910270170460189,0.010019326657316962,0.019637519397683333,1.959963984540054,0.4010480475814138,0.05
7,21544,0.3897510528929094,0.006480456690683883,0.012701461717112037,0.3888226385869254,0.006756221307692876,0.013241950434660144,1.959963984540054,0.4010480475814138,0.05
8,46415,0.4152945847493494,0.004480540332276135,0.008781697682540352,0.41428593638185557,0.004619944854345784,0.009054925525078883,1.959963984540054,0.4010480475814138,0.05
9,100000,0.40081763875781323,0.003051699193820278,0.005981220511537663,0.4006969723771034,0.003186059925038628,0.006244562705662095,1.959963984540054,0.4010480475814138,0.05
