,m_obs,ace_value,ace_standard_error,q_ace_standard_error,ols_value,ols_standard_error,q_ols_standard_error,q,ace_circ,confidence_level
0,100,0.1567554227740327,0.11376691856439902,0.22297906301832335,-0.5026620267612175,0.12119388957294938,0.23753565870930518,1.959963984540054,0.002801749270957221,0.05
1,215,-0.0006944295935872868,0.06867112722067287,0.13459293613028697,-0.5142951608310624,0.05114519508177481,0.10024274034255373,1.959963984540054,0.002801749270957221,0.05
2,464,-0.002254123313036982,0.05309570059098424,0.10406566089225118,-0.5079619944101329,0.037382246341316615,0.07326785649018477,1.959963984540054,0.002801749270957221,0.05
3,1000,0.008235912004994184,0.035947774523764325,0.07045634339094457,-0.49478360549676487,0.025496641902882443,0.04997249985636438,1.959963984540054,0.002801749270957221,0.05
4,2154,-0.009818103886074847,0.024932494230208956,0.04886679073596225,-0.5116138593774525,0.017451147139321343,0.03420361988197902,1.959963984540054,0.002801749270957221,0.05
5,4641,-0.0027400918578658895,0.01693089911557339,0.0331839524924049,-0.5012340432232333,0.012788874798077282,0.02506573400702343,1.959963984540054,0.002801749270957221,0.05
6,10000,-0.004343110070517686,0.012019704416256775,0.02355818776068031,-0.5031819658095974,0.008649358413752285,0.016952430980332972,1.959963984540054,0.002801749270957221,0.05
7,21544,0.0068688674294333785,0.007906244931537963,0.015495955318766753,-0.49685348991664074,0.005887290910293047,0.011538878150684403,1.959963984540054,0.002801749270957221,0.05
8,46415,0.00019507730131362866,0.005456656330180965,0.010694849883167193,-0.49911271833315285,0.004002860382276032,0.007845462184403254,1.959963984540054,0.002801749270957221,0.05
9,100000,-0.000904567265225642,0.003726218772780371,0.007303254593166566,-0.501929244686033,0.002734509045425466,0.005359539244432916,1.959963984540054,0.002801749270957221,0.05
