dag_tolerance,ace_abs_err-0,ace_abs_err-1,ace_abs_err-2,ace_abs_err-3,ace_abs_err-4,ace_abs_err-5,ace_abs_err-6,ace_abs_err-7,ace_abs_err-8,ace_abs_err-9,ace_abs_err-10,ace_abs_err-11,ace_abs_err-12,ace_abs_err-13,ace_abs_err-14,ace_abs_err-15,ace_abs_err-16,ace_abs_err-17,ace_abs_err-18,ace_abs_err-19,max-metric-0,max-metric-1,max-metric-2,max-metric-3,max-metric-4,max-metric-5,max-metric-6,max-metric-7,max-metric-8,max-metric-9,max-metric-10,max-metric-11,max-metric-12,max-metric-13,max-metric-14,max-metric-15,max-metric-16,max-metric-17,max-metric-18,max-metric-19,h_notears-0,h_notears-1,h_notears-2,h_notears-3,h_notears-4,h_notears-5,h_notears-6,h_notears-7,h_notears-8,h_notears-9,h_notears-10,h_notears-11,h_notears-12,h_notears-13,h_notears-14,h_notears-15,h_notears-16,h_notears-17,h_notears-18,h_notears-19,ace_abs-0,ace_abs-1,ace_abs-2,ace_abs-3,ace_abs-4,ace_abs-5,ace_abs-6,ace_abs-7,ace_abs-8,ace_abs-9,ace_abs-10,ace_abs-11,ace_abs-12,ace_abs-13,ace_abs-14,ace_abs-15,ace_abs-16,ace_abs-17,ace_abs-18,ace_abs-19
1e-15,0.0003491042790438881,9.07488279595796e-07,7.072103729854895e-07,6.982758952045476e-05,1.836957847192764e-06,9.494820776834167e-07,7.836985819187348e-07,0.00036545848104108103,0.00020678918642502708,4.2536231263490265e-05,0.00020999153073164578,0.00011614856815866936,0.00033653626723939567,0.0,9.931947604852054e-05,0.0002740303451780335,0.0002801098148611514,8.785259098879726e-07,4.7183000653633627e-07,2.658624514983998e-07,0.00047146097376916615,0.0006806437364819118,0.00018771583344179277,0.00037966096327823884,0.0005449126922492109,0.0003478672303564023,0.0002569856962386652,0.00036687500752641267,0.00028256524700172574,0.0007635807669011288,0.00010040106868447474,0.0001161485681593355,0.0006208788180807099,9.492788991782852e-05,0.0003200548377184642,0.00016119534519387635,0.0005019889887998286,0.0003011993552055614,0.0004466517510115697,0.0004825575254054777,8.117950756059145e-13,7.780442956573097e-13,6.572520305780927e-13,8.606448886894214e-13,8.189005029635155e-13,7.078782005009998e-13,7.86926079854311e-13,9.423573033018329e-13,6.119549311733863e-13,9.352518759442319e-13,8.499867476530198e-13,9.814371537686384e-13,8.544276397515205e-13,8.739675649849232e-13,8.86402062860725e-13,9.237055564881302e-13,9.325873406851315e-13,9.9298347322474e-13,6.332712132461893e-13,7.833733661755105e-13,0.7101770663399238,9.07488279595796e-07,7.072103727079337e-07,6.982758952078782e-05,1.836957847192764e-06,9.494820781136282e-07,7.836985816966902e-07,0.5369833828444808,0.5805093873547365,1.2574869005073133,1.9562640776437172,1.6670386458928854,3.061956499743714,0.0,9.93194760477989e-05,2.184016267407258,0.00028010981486192854,8.785259098879726e-07,4.7183000653633627e-07,0.7722771332855918
2.222996482526191e-15,0.00045617325106894757,9.600517232793945e-07,7.825891902291104e-07,5.087803451819806e-06,1.8283962435077422e-06,1.032082378393806e-06,8.461660132574877e-07,0.00013112674795179302,0.0001534677708286969,1.2674033185389177e-05,0.00038663954559203795,4.852785832598627e-05,0.00024611013800823756,0.0,0.00010360620815100252,0.0003184175163282177,0.00033502511259686507,8.722931533650959e-07,4.642752278170327e-07,2.335814430987071e-06,0.0007604477856707298,0.0005159349372252375,0.000391439229079138,0.00017334908549027084,0.0008303623332067689,0.0003095302629513297,0.0005073279059708558,0.0004697958092199084,0.00019376063931078691,0.000751409791863464,0.00014296547434100582,4.852785832731854e-05,0.0004854500749165109,0.00021683807661165844,0.00033257461906943675,0.00018407192355107682,0.00039154250647399635,0.0006921539913653518,0.0015345176330917546,0.0004998452504020397,8.100187187665142e-13,8.748557434046234e-13,8.046896482483135e-13,5.719869022868806e-13,8.171241461241152e-13,8.348877145181177e-13,9.450218385609332e-13,8.553158181712206e-13,7.140954494389007e-13,9.272582701669307e-13,6.981082378842984e-13,9.805489753489383e-13,9.414691248821327e-13,8.57980353430321e-13,8.72191208145523e-13,5.915268275202834e-13,9.414691248821327e-13,9.9298347322474e-13,6.084022174945858e-13,9.627854069549358e-13,0.7100699973678988,9.600517232793945e-07,7.825891899515547e-07,5.087803451486739e-06,1.8283962435077422e-06,1.0320823788240174e-06,8.461660130354431e-07,0.5372177145775701,0.5805627087703328,1.2575421107717621,1.9560874296288568,1.667106266602718,3.062046925872945,0.0,0.00010360620815028088,2.1839718802361077,0.00033502511259764223,8.722931533650959e-07,4.642752278170327e-07,0.7722745316087093
4.9417133613238385e-15,0.0003483763662426309,9.107631259344125e-07,7.850669498932206e-07,0.0001385473648531088,1.9924484508690134e-06,9.257202493034855e-07,8.544654047648592e-07,0.0003736550591193488,0.0001911491544026589,0.00025557023543143487,0.0003562216284178632,4.615781243599848e-05,0.000802837018676783,0.0,4.382589380483304e-05,0.00027820312370741007,0.0003824043290813206,8.756319948971243e-07,4.6176802616723503e-07,3.1132958622226425e-07,0.0006419701359294983,0.0005778918464989236,0.00022647901735872722,0.0003631405742723359,0.0005272896993574472,0.0003143003094074892,0.0004847905228133609,0.0005469727005719127,0.00019095920966027968,0.0008205984133576183,0.00013239626103356272,4.6157812436664614e-05,0.000894676266888578,8.277126376521338e-05,0.00033068328013241555,0.00018514505352928978,0.0005704485547246563,0.0006833042949585533,0.0010517551079496608,0.00043023475099228446,6.608047442568932e-13,7.833733661755105e-13,8.064660050877137e-13,8.606448886894214e-13,9.618972285352356e-13,6.830092047493963e-13,9.654499422140361e-13,9.476863738200336e-13,6.084022174945858e-13,9.947598300641403e-13,8.517631044924201e-13,7.229772336359019e-13,8.01136934569513e-13,7.336353746723034e-13,9.086065233532281e-13,6.181721801112872e-13,9.441336601412331e-13,9.965361869035405e-13,6.004086117172847e-13,9.627854069549358e-13,0.7101777942527251,9.107631259344125e-07,7.850669496156648e-07,0.00013854736485344188,1.9924484508690134e-06,9.257202497336969e-07,8.544654045428146e-07,0.5369751862664025,0.5805250273867588,1.2572738665031453,1.956117847546031,1.667108636648608,3.0614901989922765,0.0,4.382589380411139e-05,2.1840120946287285,0.00038240432908209776,8.756319948971243e-07,4.6176802616723503e-07,0.7722765560935541
1.0985411419875573e-14,0.0003946798518882355,9.799657263937654e-07,7.850635293515928e-07,3.170507701452663e-05,1.8300064887948338e-06,1.0334427286429193e-06,8.504251917118566e-07,0.000337962516032686,0.00020162321195227317,0.0002555805403381406,0.0004656037027068738,0.00011619839245446961,0.00022180473109578713,0.0,1.5666142326731247e-05,0.000326375561990222,0.0002552065950197635,8.65067312112494e-07,4.617773952580789e-07,7.889043890374481e-07,0.0005141772556538514,0.000513766697157525,0.00024521275780142737,0.00030785583206283107,0.0005190734667107622,0.0002914294921732008,0.0004814134737842757,0.0007836812483414946,0.00027936279840198126,0.0008215256917914214,0.00019221923773016236,0.00011619839245535779,0.0005582724881731233,0.0001132833920931553,0.00032425789730061716,0.00019268860163812462,0.0004837227201837102,0.0003905678523827838,0.0008134655642885139,0.00039443534112670875,6.581402089977928e-13,9.041656312547275e-13,8.064660050877137e-13,9.36140054363932e-13,8.197886813832156e-13,8.375522497772181e-13,9.556799795973347e-13,9.485745522397337e-13,6.084022174945858e-13,1.0107470416187425e-12,8.482103908136196e-13,8.57980353430321e-13,8.020251129892131e-13,7.371880883511039e-13,8.588685318500211e-13,9.254819133275305e-13,9.43245481721533e-13,9.663381206337363e-13,6.039613253960852e-13,8.970602038971265e-13,0.7101314907670795,9.799657263937654e-07,7.850635290740371e-07,3.1705077014859695e-05,1.8300064887948338e-06,1.0334427290731307e-06,8.50425191489812e-07,0.5370108788094892,0.5805145533292092,1.2572738561982386,1.956008465471742,1.6670385960685896,3.0620712312798575,0.0,1.5666142326009602e-05,2.1839639221904457,0.00025520659502054066,8.65067312112494e-07,4.617773952580789e-07,0.7722776563275293
2.4420530945486547e-14,0.0004629165632947796,9.148297885141686e-07,7.92529950222054e-07,5.262270989705997e-05,1.8365496689852826e-06,9.494002763676956e-07,8.227872304589212e-07,0.00023354752963988812,0.00010085916945923312,0.0001285573524150152,0.00031192353686360086,9.323643851621988e-05,3.1741552056985256e-05,0.0,4.472504807043198e-05,0.0003298483787599338,0.00038089967779508793,7.117802532955611e-07,5.726719966047994e-07,1.087611753691764e-05,0.0007667149670476403,0.0004902450758647037,0.00031582577746580576,0.0003432545873802706,0.0005386801676374731,0.00025479161565966635,0.0006251728901911502,0.0005046169472535667,0.0001350815749908474,0.0008201119445517868,0.00015680961465447396,9.32364385173301e-05,0.0008037127723951064,9.493010598338181e-05,0.0003312109629174387,0.00021955422240704792,0.0005695715727547235,0.00018686952249558075,0.0008536549187900924,0.00048509643995921085,8.197886813832156e-13,7.895906151134113e-13,8.286704655802168e-13,8.641976023682219e-13,8.189005029635155e-13,7.185363415374013e-13,8.93507490218326e-13,9.521272659185342e-13,6.146194664324867e-13,9.343636975245317e-13,7.194245199571014e-13,1.0134115768778429e-12,8.064660050877137e-13,7.496225862269057e-13,8.100187187665142e-13,9.263700917472306e-13,8.757439218243235e-13,6.554756737386924e-13,9.485745522397337e-13,9.023892744153272e-13,0.7100632540556729,9.148297885141686e-07,7.925299499444982e-07,5.262270989739304e-05,1.8365496689852826e-06,9.494002767979071e-07,8.227872302368766e-07,0.537115293795882,0.5806153173717022,1.2574008793861617,1.9561621456375853,1.6670615580225279,3.0622612944588963,0.0,4.472504806971034e-05,2.183960449373676,0.0003808996777958651,7.117802532955611e-07,5.726719966047994e-07,0.7722877435406772
5.4286754393238596e-14,0.00045649887288090607,9.837396315714077e-07,8.891516549702771e-07,0.0001391233690568039,2.0114736134681712e-06,1.0417755569730458e-06,8.407010596567233e-07,0.00036490726370774773,7.193520588888447e-05,0.00021326626561379847,0.0003654436447042553,5.8102615488664355e-05,0.00013643107821392775,0.0,4.403975974756613e-05,0.0002945202001982672,0.0002584516161785455,7.141644219547504e-07,5.83179742353506e-07,5.267901074912373e-06,0.0007619361494366095,0.00063638330052318,0.0002762539663072605,0.00036366340424476284,0.00047089480726447697,0.00036026070706940416,0.000622433497077024,0.0005552357208525871,0.00013693026383861516,0.0006861410896352452,0.00013621792328710747,5.810261549044071e-05,0.0006991946615236498,0.00021664207649418898,0.0006043879734818347,0.00020855090049076708,0.0004943328306015182,0.0001833847903842667,0.0008116187699276628,0.0003513177393974466,1.0542677841840487e-12,9.130474154517287e-13,1.0338396805309458e-12,8.686384944667225e-13,9.805489753489383e-13,8.499867476530198e-13,9.121592370320286e-13,9.654499422140361e-13,1.048938713665848e-12,9.396927680427325e-13,8.597567102697212e-13,1.0258460747536446e-12,8.331113576787175e-13,8.748557434046234e-13,8.215650382226158e-13,9.316991622654314e-13,8.828493491819245e-13,6.59916565837193e-13,9.556799795973347e-13,9.707790127322369e-13,0.7100696717460868,9.837396315714077e-07,8.891516546927214e-07,0.00013912336905713696,2.0114736134681712e-06,1.0417755574032572e-06,8.407010594346787e-07,0.5369839340618141,0.5806442413352726,1.257316170472963,1.9561086255297446,1.6670966918455554,3.0621566049327393,0.0,4.403975974684449e-05,2.1839957775522376,0.00025845161617932266,7.141644219547504e-07,5.83179742353506e-07,0.7722821353242152
1.2067926406393265e-13,0.0005239112745191177,1.0013121729835515e-06,8.924510335184266e-07,6.0258676278734935e-05,2.0403338245219405e-06,1.1750250509950932e-06,8.387582003388516e-07,0.0002154298822918399,0.00015870328399802958,0.0002547780987669501,0.0003813257080234056,5.810545738338391e-05,0.0007671263011168605,0.0,7.19468654728217e-05,0.0002953213811536237,0.000236490427624525,7.211179357952395e-07,5.757160151299997e-07,4.81727062051629e-06,0.0006261949616695109,0.0006552375442260283,0.0002590814376246531,0.0003099840647020624,0.000689280530148717,0.00048129374287097485,0.000499984730364389,0.000513985534288941,0.0002053166893081794,0.0008236194710520883,0.00014151482861390896,5.8105457385160264e-05,0.0007193342888531462,0.00021623678886117936,0.0003888923883272888,0.00020835857529877266,0.00024900903859670365,0.0003670400298056986,0.0008620191404176611,0.00042905839359230606,1.048938713665848e-12,9.450218385609332e-13,1.0480505352461478e-12,8.784084570834239e-13,1.007194327939942e-12,1.0871303857129533e-12,9.29034627006331e-13,9.983125437429408e-13,1.0800249583553523e-12,9.547918011776346e-13,1.0960121699099545e-12,1.0524914273446484e-12,8.189005029635155e-13,9.015010959956271e-13,1.1022294188478554e-12,9.43245481721533e-13,9.07718344933528e-13,6.696865284538944e-13,9.610090501155355e-13,9.414691248821327e-13,0.7100022593444486,1.0013121729835515e-06,8.924510332408708e-07,6.0258676279068e-05,2.0403338245219405e-06,1.1750250514253047e-06,8.38758200116807e-07,0.53713341144323,0.5805574732571634,1.2572746586398098,1.9560927434664255,1.6670966890036607,3.0615259097098364,0.0,7.194686547210005e-05,2.1839949763712823,0.00023649042762530215,7.211179357952395e-07,5.757160151299997e-07,0.7722720501525198
2.682695795279727e-13,0.00040323831867838944,1.0387992268605817e-06,9.012755857185084e-07,4.001135734149619e-05,2.0984260144717794e-06,1.1882828269277335e-06,9.741001978369468e-07,0.00019926415851068136,0.0001501918791620982,0.00025581712327116257,0.0003241362637798062,5.81084215083294e-05,0.00026973840189414844,0.0,9.921135772145151e-05,0.00032643041243352044,0.00037732544057766937,9.710869038304603e-07,5.913129562789556e-07,9.189854955904408e-07,0.0006433063568325874,0.0005799910764661131,0.00034395025528066725,0.00030248600072591003,0.00043471938243411223,0.0003070193358981621,0.0005037010111261786,0.0005071639848059917,0.00019478228448333024,0.0008214629405280246,0.00010756936709621634,5.810842150943962e-05,0.0006919388584162536,0.00015251795025550408,0.0003198672233497568,0.00019368242410311431,0.0005631879822629582,0.00032261337351857655,0.000444034729523861,0.0004788232407400128,1.092459456231154e-12,1.0178524689763435e-12,1.0658141036401503e-12,8.988365607365267e-13,1.0693668173189508e-12,1.1048939541069558e-12,1.2541079286165768e-12,1.0729195309977513e-12,1.156408302449563e-12,9.71667191151937e-13,1.1191048088221578e-12,7.203126983768016e-13,8.348877145181177e-13,1.127986593019159e-12,1.149302875091962e-12,9.663381206337363e-13,1.2398970739013748e-12,1.2283507544452732e-12,9.876544027065393e-13,1.0027534358414414e-12,0.7101229323002893,1.0387992268605817e-06,9.012755854409527e-07,4.001135734182926e-05,2.0984260144717794e-06,1.1882828273579449e-06,9.741001976149022e-07,0.5371495771670112,0.5805659846619994,1.2572736196153056,1.956149932910669,1.6670966860395358,3.062023297609059,0.0,9.921135772072986e-05,2.1839638673400024,0.0003773254405784465,9.710869038304603e-07,5.913129562789556e-07,0.7722759484376447
5.963623316594636e-13,0.0005208388182970092,1.2544925802158682e-06,9.235530772366829e-07,0.00013831930886334942,2.4535538092226275e-06,1.2108757343476384e-06,1.0161550799692165e-06,0.0001781756856008565,0.000172399811708579,0.00021346412993406005,0.0003245733300025755,5.8172761518537897e-05,0.0006974875743237519,0.0,3.920509776703107e-05,0.00017054100924696058,0.00040029792649609597,1.0368307573097003e-06,5.957287290005815e-07,9.105772017514724e-07,0.000642171789106397,0.0005857851605181041,0.00028139737891463845,0.0003632474208821179,0.00041798929342673485,0.00040151922233046613,0.0005132269090810659,0.0005062249881770953,0.0001721182593896753,0.0006866981730392516,0.00010778323803384282,5.817276152009221e-05,0.0008728660720458649,0.00011264947170874784,0.0005108386534244946,8.535357310335279e-05,0.0006129179087108749,0.0004286873048107154,0.0015129244068027906,0.000370764292979775,1.1226575225009583e-12,1.4859224961583095e-12,1.1235457009206584e-12,9.43245481721533e-13,1.4628298572461063e-12,1.1590728377086634e-12,1.3642420526593924e-12,1.5614176618328202e-12,1.326938559031987e-12,1.0160761121369433e-12,1.163513729807164e-12,1.5223378113660146e-12,8.810729923425242e-13,1.5480949855373183e-12,1.4495071809506044e-12,1.0089706847793423e-12,1.5631940186722204e-12,1.4015455462867976e-12,1.0302869668521453e-12,1.3802292642139946e-12,0.7100053318006707,1.2544925802158682e-06,9.235530769591271e-07,0.0001383193088636825,2.4535538092226275e-06,1.2108757347778498e-06,1.016155079747172e-06,0.537170665639921,0.5805437767294529,1.2573159726086427,1.9561494958444463,1.6670966216995255,3.0615955484366295,0.0,3.920509776630943e-05,2.184119756743189,0.0004002979264968731,1.0368307573097003e-06,5.957287290005815e-07,0.7722759568459385
1.3257113655901109e-12,0.0005320713803089738,1.2248866998266356e-06,9.606901134606716e-07,4.8843831133738025e-05,2.944070432574555e-06,1.2658157911293877e-06,1.1351631930001105e-06,0.0003665187563464123,0.00017692834126448176,0.00010024355197835177,0.0004427485364029149,5.8109346094736836e-05,0.0006524469650557307,0.0,0.0001235689947917673,0.0002965831049488443,0.00036927412337117715,1.283227696667979e-06,9.07805151244799e-07,1.0543339421520415e-06,0.0006858433336842856,0.000524450364349005,0.0002773845470180891,0.00036754398191751747,0.0003639049341834788,0.0003617522262087114,0.0005930230871218356,0.0005590497215814949,0.00025148793144585697,0.00033426088124605954,0.00016504897271762964,5.810934609629115e-05,0.0008731206550752679,0.0001442593774434453,0.00039810415301877455,0.00021693655203725015,0.0005454989540558675,0.00037135663919918294,0.0013022232168118275,0.0003837705680388436,1.2150280781497713e-12,1.4157564010019996e-12,1.2070344723724702e-12,1.4583889651476056e-12,2.106759211528697e-12,1.255884285455977e-12,1.70263803056514e-12,2.164490808809205e-12,2.304822999121825e-12,2.2719603975929203e-12,1.9033663534173684e-12,2.176037128265307e-12,1.3677947663381929e-12,1.9273471707492718e-12,1.5649703755116207e-12,2.255973186038318e-12,1.6608936448392342e-12,2.1440627051561023e-12,2.3003821070233244e-12,2.298605750183924e-12,0.7099940992386587,1.2248866998266356e-06,9.606901131831158e-07,4.884383113407109e-05,2.944070432574555e-06,1.2658157915595991e-06,1.1351631927780659e-06,0.5369823225691754,0.580539248199897,1.2574291931865984,1.956031320638046,1.6670966851149494,3.0616405890458975,0.0,0.00012356899479104566,2.183993714647487,0.0003692741233719543,1.283227696667979e-06,9.07805151244799e-07,0.7722779217570824
